,title,genre,synopsis,producer,studio,rating,scoredby,members,source,aired
2169,Teekyuu 3,"Comedy, School, Shounen, Sports",Third season of Teekyuu series.,"DAX Production, Earth Star Entertainment",MAPPA,6.91,10192,17597,Manga,"Oct 6, 2013 to Dec 22, 2013"
2170,Choujigen Game Neptune The Animation Yakusoku no Eien - True End,"Action, Fantasy, Comedy, Sci-Fi","Unaired episode 13 of Choujigen Game Neptune: The Animation, included in the 7th BD/DVD volume.","Frontier Works, Idea Factory",David Production,7.39,11502,22170,Game,"Mar 26, 2014"
2171,Noragami,"Action, Adventure, Comedy, Supernatural, Shounen","In times of need, if you look in the right place, you just may see a strange telephone number scrawled in red. If you call this number, you will hear a young man introduce himself as the Yato God. 
 
Yato is a minor deity and a self-proclaimed ""Delivery God,"" who dreams of having millions of worshippers. Without a single shrine dedicated to his name, however, his goals are far from being realized. He spends his days doing odd jobs for five yen apiece, until his weapon partner becomes fed up with her useless master and deserts him. 
 
Just as things seem to be looking grim for the god, his fortune changes when a middle school girl, Hiyori Iki, supposedly saves Yato from a car accident, taking the hit for him. Remarkably, she survives, but the event has caused her soul to become loose and hence able to leave her body. Hiyori demands that Yato return her to normal, but upon learning that he needs a new partner to do so, reluctantly agrees to help him find one. And with Hiyori's help, Yato's luck may finally be turning around. 
 
[Written by MAL Rewrite]","Avex Entertainment, Dentsu, Shochiku, Kodansha, Movic, Ai Addiction, Lawson HMV Entertainment, A-Sketch",Bones,8.15,499984,842558,Manga,"Jan 5, 2014 to Mar 23, 2014"
2172,Fatekaleid liner PrismaIllya 2wei!,"Action, Comedy, Magic, Fantasy","Another lovely summer goes by for Illyasviel von Einzbern. Taking a break from her magical girl duties, she enjoys her time off after collecting the Class Cards with her best friend Miyu Edelfelt.  
 
However, her break comes to an abrupt end when she and Miyu are abducted by Rin Toosaka and Luviagelita Edelfelt, while out with her friends. The magical girls learn that their work is far from over, as Clock Tower informs them that the out of control mana thought to have been sealed continues to be dispersing throughout Fuyuki City. After heading to the origin point of the out of control mana, Illya and Miyu are tasked with solving the anomaly.  
 
But after casting their spell, Illyasviel discovers that she's split into two people! As this mysterious new form darts off, she can only wonder: what is to come from the existence of her dopplegänger, running amok in the unsuspecting town? 
 
[Written by MAL Rewrite]","Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Tokyo MX, Kadokawa Media House",Silver Link.,7.43,43487,82862,Manga,"Jul 10, 2014 to Sep 11, 2014"
2173,ZX Ignition,"Game, Sci-Fi, Adventure, Fantasy","The story is set in the not-so-distant future. Five ""Black Points"" suddenly appeared around the world as portals to parallel worlds. Immediately after, strange creatures began their invasion from these portals. These creatures are the inhabitants of five worlds—the same worlds in different timeframes. In order to ensure their own future timeframe survives, each of the five invasion forces battle to wipe the other future timeframes out. The key is one card-shaped device. 
 
(Source: ANN)","Sotsu, Pony Canyon, Nippon Ichi Software",Telecom Animation Film,6.63,12681,30329,Card game,"Jan 10, 2014 to Apr 3, 2014"
2174,Mikakunin de Shinkoukei,"Slice of Life, Comedy, Romance, School","Just an ordinary teenager, Kobeni Yonomori receives quite the surprise on her 16th birthday—a fiancé and a sister-in-law she never even knew she had. As a result of an arrangement that her late grandfather made, Hakuya Mitsumine and his younger sister Mashiro have moved from their countryside home to the Yonomori household in order to deepen their relationship with their new family members. 
 
 Mikakunin de Shinkoukei  follows Kobeni's ""love life"" with Hakuya as she tries her best to adjust to the abrupt changes forced upon her. However, as some extraordinary secrets regarding the siblings come to light, Kobeni will find her life changed forever. 
 
[Written by MAL Rewrite]","Sotsu, DAX Production, TOHO animation, RAY, Ichijinsha",Doga Kobo,7.54,92651,188548,4-koma manga,"Jan 9, 2014 to Mar 27, 2014"
2175,Bayonetta Bloody Fate,"Action, Demons, Fantasy, Super Power","Driven to recover her memories after waking in a coffin at the bottom of a lake 20 years ago, Bayonetta hunts down the forces of Heaven day and night in search of clues to her forgotten past, and to uphold her pact with the demonic forces she draws her powers from as an Umbra Witch. She is armed and guided by the mysterious bartender and weapon-smith, Rodin, and following her every footstep is the intrepid journalist, Luka Redgrave, who believes that she has something to do with the death of his father and will stop at nothing to get the truth. Her quest takes a promising turn when she encounters a little girl named Cereza, but standing in her way is a rival Umbra Witch named Jeanne, who works for the very forces that she should be opposing. 
 
 Bayonetta: Bloody Fate  is an action-packed anime film that explores the connection between all of characters and works to unravel just how they are seemingly entwined in a conspiracy that eclipses them all.","Toei Animation, Avex Entertainment, Pony Canyon, Sega, Showgate, Q-Tec",Gonzo,6.73,13748,28099,Game,"Nov 23, 2013"
2176,SoniAni Super Sonico The Animation,"Music, Slice of Life","Super Sonico is a clutzy, adorable, and well-endowed 18-year old girl. She's a complete sucker for anything cute, especially stray cats, all of which she giddily adopts. However, though Sonico should be enjoying a carefree and simple lifestyle as a young college student, her life is really anything but easy: she must balance being a professional model, working part-time at her grandmother's restaurant, and practicing guitar and performing concerts with her friends Suzu Fujimi and Fuuri Watanuki in their band, First Astronomical Velocity—all while attending college.  SoniAni: Super Sonico the Animation  follows Sonico as she faces daunting challenges in her search for her place in the world, even when her days are brimming with love and happiness. 
 
[Written by MAL Rewrite]","Genco, Pony Canyon, Movic, Half H.P Studio, AT-X, Nitroplus, KlockWorx, Showgate, Good Smile Company",White Fox,6.2,18938,56172,Other,"Jan 6, 2014 to Mar 24, 2014"
2177,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports","Inspired after watching a volleyball ace nicknamed ""Little Giant"" in action, small-statured Shouyou Hinata revives the volleyball club at his middle school. The newly-formed team even makes it to a tournament; however, their first match turns out to be their last when they are brutally squashed by the ""King of the Court,"" Tobio Kageyama. Hinata vows to surpass Kageyama, and so after graduating from middle school, he joins Karasuno High School's volleyball team—only to find that his sworn rival, Kageyama, is now his teammate. 
 
Thanks to his short height, Hinata struggles to find his role on the team, even with his superior jumping power. Surprisingly, Kageyama has his own problems that only Hinata can help with, and learning to work together appears to be the only way for the team to be successful. Based on Haruichi Furudate's popular shounen manga of the same name,  Haikyuu!!  is an exhilarating and emotional sports comedy following two determined athletes as they attempt to patch a heated rivalry in order to make their high school volleyball team the best in Japan. 
 
[Written by MAL Rewrite]","Mainichi Broadcasting System, TOHO animation, Shueisha",Production I.G,8.66,276833,481355,Manga,"Apr 6, 2014 to Sep 21, 2014"
2178,Natsume Yuujinchou Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural","During a winter walk, Natsume meets a snowman youkai who is searching for something she's lost and can't seem to recall and decides to help her despite not knowing what exactly she's looking for.","Aniplex, Nihon Ad Systems",Brain039;s Base,8.41,19265,41309,Manga,"Feb 1, 2014"
2179,Hamatora The Animation,"Mystery, Comedy, Super Power, Drama","The ability to create miracles is not just a supernatural phenomenon; it is a gift which manifests in a limited number of human beings. ""Minimum,"" or small miracles, are special powers that only selected people called ""Minimum Holders"" possess. The detective agency Yokohama Troubleshooting, or Hamatora for short, is composed of the ""Minimum Holder PI Duo,"" Nice and Murasaki. Their office is a lone table at Cafe Nowhere, where the pair and their coworkers await new clients. 
 
Suddenly, the jobs that they begin to receive seem to have strange connections to the serial killer whom their friend Art, a police officer, is searching for. The murder victims share a single similarity: they are all Minimum Holders. Nice and Murasaki, as holders themselves, are drawn to the case—but what exactly is the link between Nice and the one who orchestrates it all? 
 
[Written by MAL Rewrite]","TV Tokyo, Avex Entertainment, Sotsu, Movic, AT-X, DAX Production, DIVE II Entertainment, Shueisha",NAZ,7.4,79701,178111,Original,"Jan 8, 2014 to Mar 26, 2014"
2180,0,Music,This music video tells how a shy girl with a secret love and curiosity about what surrounds her works.,Sony Music Entertainment,Minakata Laboratory,4.83,1131,2013,Unknown,"Oct 23, 2013"
2181,Sabage-bu!,"Action, Military, Comedy, Shoujo","Draw your weapons and take aim, because  Sabagebu!  is coming at you! 
 
Momoka Sonokawa was just minding her own business on the train one day when she encountered a pervert. Before she could do anything about it, a girl named Miou appears, brandishing two pistols and and scaring him off, only to be arrested herself a few minutes later for possessing firearms.  
 
Later Momoka sees this same girl at her school and follows her to a run down building. It turns out Miou is the president of the school's Survival Game Club, and it doesn't take long for Miou to capture Momoka and force her into joining them. 
 
Over the course of the series, Momoka and her new “friends” will take part in multiple battles against enemies from other schools, a rival from the same school who wants to see the club shut down and even each other (on multiple occasions). With friends and classmates like these, will Momoka even make it to graduation?","Bandai Visual, Lantis, Kodansha, Banpresto, NichiNare",Pierrot Plus,7.44,35265,91714,Manga,"Jul 6, 2014 to Sep 21, 2014"
2182,Pokemon Best Wishes! Season 2 Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,"Action, Adventure, Comedy, Fantasy, Kids","Dent and Takeshi! Gyarados's Outrage!!  is the first spin off of the Best Wishes series of the Pokémon anime. 
 
(Source: Bulbapedia)",TV Tokyo,OLM,6.83,2047,4497,Unknown,"Oct 3, 2013"
2183,Love Live! School Idol Project OVA,"Music, Slice of Life, School",Bundled with the sixth single of the anime's μ's idol group.,Lantis,Sunrise,6.96,16779,29547,Other,"Nov 27, 2013"
2184,Noragami OVA,"Action, Adventure, Comedy, Supernatural, Shounen","Bundled with the limited editions of the 10th and 11th volumes of the manga. 
 
10th volume DVD adapts the 25th chapter of the manga. 
 
11th volume DVD adapts the popular cherry blossom-viewing arc. 
 
(Source: MAL News)","Avex Entertainment, Ai Addiction",Bones,7.9,90014,155383,Manga,"Feb 17, 2014 to Jul 17, 2014"
2185,Mahouka Koukou no Rettousei,"Action, Sci-Fi, Supernatural, Magic, Romance, School","In the dawn of the 21st century, magic, long thought to be folklore and fairy tales, has become a systematized technology and is taught as a technical skill. In First High School, the institution for magicians, students are segregated into two groups based on their entrance exam scores: ""Blooms,"" those who receive high scores, are assigned to the First Course, while ""Weeds"" are reserve students assigned to the Second Course. 
 
 Mahouka Koukou no Rettousei  follows the siblings, Tatsuya and Miyuki Shiba, who are enrolled in First High School. Upon taking the exam, the prodigious Miyuki is placed in the First Course, while Tatsuya is relegated to the Second Course. Though his practical test scores and status as a ""Weed"" show him to be magically inept, he possesses extraordinary technical knowledge, physical combat capabilities, and unique magic techniques—making Tatsuya the irregular at a magical high school. 
 
[Written by MAL Rewrite]","Aniplex, Square Enix, Movic, ASCII Media Works",Madhouse,7.74,234571,434552,Light novel,"Apr 6, 2014 to Sep 28, 2014"
2186,Black Bullet,"Action, Sci-Fi, Mystery, Seinen","In the year 2021, a parasitic virus known as ""Gastrea"" infects humans and turns them into monsters. What is left of mankind now lives within the Monolith walls, walls that are made of Varanium, the only material that can hurt Gastrea. 
 
To counter the threat that the Gastrea pose, ""Cursed Children""—female children whose bodies contain trace amounts of the virus which grant them superhuman abilities—officially called Initiators by the Tendo Civil Security, are given partners called Promoters, people who work to guide and protect the young Initiators. These teams of two are sent out on missions to fight the monsters created by the Gastrea virus and keep them at bay.  
 
 Black Bullet  revolves around the team of Enju Aihara, an Initiator, and Satomi Rentaro, a Promoter, as they go on missions to fight the growing threat of Gastrea in their hometown of Tokyo. 
 
[Written by MAL Rewrite]","Geneon Universal Entertainment, AT-X, Showgate, NBCUniversal Entertainment Japan","Kinema Citrus, Orange",7.38,258089,463108,Light novel,"Apr 8, 2014 to Jul 1, 2014"
2187,Sekaiichi Hatsukoi Valentine-hen,"Romance, Comedy, Shounen Ai","Animated short with an original story that was screened alongside ""Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai.""",Kadokawa Shoten,Studio Deen,8.1,9083,19805,Unknown,"Mar 15, 2014"
2188,Senki Zesshou Symphogear G Senki Zesshou Shinai Symphogear,"Slice of Life, Comedy",Original short episodes featuring characters in super-deformed style.,Starchild Records,Satelight,6.88,2308,6143,Original,"Feb 5, 2014 to Mar 5, 2014"
2189,Hitsugi no Chaika,"Action, Adventure, Comedy, Romance, Fantasy","For 500 years, the Taboo Emperor, Arthur Gaz, ruled the Gaz Empire with an iron fist and conducted inhumane experiments on his own people. But his reign came to an end five years ago, when mighty warriors—later known as the Eight Heroes—defeated him in a battle for the capital. His death ended the 300-yearlong war between the Gaz Empire and the alliance of six nations. 
 
In the present day, Tooru Acura is a former saboteur from the war who has difficulty settling into the peaceful world, as he cannot find a job where he can put his fighting skills to use. An opportunity appears before him, however, when he meets a white-haired Wizard named Chaika Trabant. With a coffin on her back, she is searching for the scattered remains of her father in order to give him a proper burial, and she hires Tooru and his adoptive sister Akari to help her. However, the six nations alliance, which have now formed the Council of Six Nations, dispatches Albéric Gillette and his men from the Kleeman Agency to pursue and apprehend the late Emperor Gaz's daughter—Chaika. 
 
With the shocking revelation of Chaika's identity, the Acura siblings must choose between helping her gather the remains of the tyrannical emperor and upholding the peace the continent strives to maintain. 
 
[Written by MAL Rewrite]","Kadokawa Shoten, flying DOG, Fujimi Shobo",Bones,7.41,106963,222077,Light novel,"Apr 10, 2014 to Jun 26, 2014"
2190,Kuro no Sumika Chronus,Psychological,"Makoto Nakazono is a high school student with a small dark secret. Since he was little, he has had the mysterious power to see ""black entities"" that steal souls. 
 
One day, he is suddenly interrogated by one of the ""black entities,"" Akira Seno: ""Will you get in our way?"" 
 
But Makoto replies with an air of resignation, ""There's nothing I can do anyway, so I won't."" 
 
At that moment, Makoto didn't notice the threatening shadow approaching his childhood friend Hazuki... 
 
(Source: ANN)",EXA International,Studio 4C,6.92,7344,14277,Unknown,"Mar 1, 2014"
2191,JoJo no Kimyou na Bouken Part 3 Stardust Crusaders,"Action, Adventure, Supernatural, Drama, Shounen","Years after an ancient evil was salvaged from the depths of the sea, Joutarou Kuujou sits peacefully within a Japanese jail cell. He's committed no crime yet demands he not be released, believing he's been possessed by an evil spirit capable of harming those around him. Concerned for her son, Holly Kuujou asks her father, Joseph Joestar, to convince Joutarou to leave the prison. Joseph informs his grandson that the ""evil spirit"" is in fact something called a ""Stand,"" the physical manifestation of one's fighting spirit which can adopt a variety of deadly forms. After a fiery brawl with Joseph's friend Mohammed Avdol, Joutarou is forced out of his cell and begins learning how to control the power of his Stand. 
 
However, when a Stand awakens within Holly and threatens to consume her in 50 days, Joutarou, his grandfather, and their allies must seek out and destroy the immortal vampire responsible for her condition. They must travel halfway across the world to Cairo, Egypt and along the way, do battle with ferocious Stand users set on thwarting them. If Joutarou and his allies fail in their mission, humanity is destined for a grim fate. 
 
[Written by MAL Rewrite]","Yomiko Advertising, Warner Bros., KlockWorx",David Production,8.24,139084,223606,Manga,"Apr 5, 2014 to Sep 13, 2014"
2192,Harmonie,"Supernatural, School, Drama","Every person has his or her own little world. Among the 34 bustling students of classroom 2-1, there are many such worlds. 
 
Honjou Akio's world—my world—is filled with passionate talk about last night's anime with Yoshida, Watanabe, and other friends. It's a fun, comfortable place... But, I always wonder. Wonder about the world of Makina Juri, smiling and surrounded by gorgeous friends on the other side of the classroom. 
 
One day, I enter her world. But it's not as simple as it sounds. 
 
(Source: ANN)",Ultra Super Pictures,Studio Rikka,7.43,19975,37092,Unknown,"Mar 1, 2014"
2193,Kyoukai no Kanata Mini Gekijou,"Supernatural, Slice of Life",Short mini-theater specials included in the BD/DVD volumes.,"Lantis, Pony Canyon",Kyoto Animation,6.83,7457,21246,Original,"Jan 8, 2014 to Jul 2, 2014"
2194,Diabolik Lovers Recap,"Shoujo, Vampire",Recap of episodes 1-6 with new narrations.,"Frontier Works, Idea Factory, Sentai Filmworks, Showgate","Production I.G, Zexcs",5.48,7532,14914,Unknown,"Oct 28, 2013"
2195,Oneechan ga Kita,"Comedy, Slice of Life","The story revolves around Tomoya Mizuhara, a 13-year-old boy who suddenly gains a big sister when his father remarries. 17-year-old Ichika is a little strange, and her affection for Tomoya is rather overwhelming, if not scary. On top of things, Ichika's friend Ruri is the ultimate sadist. Then there is Ichika's big-breasted quarter-Japanese friend Marina. 
 
(Source: ANN)","Takeshobo, Studio CHANT",C2C,6.49,33093,61567,4-koma manga,"Jan 9, 2014 to Mar 27, 2014"
2196,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA","Comedy, Romance, School",Unaired TV episode bundled with the light novel's volume eight.,"DAX Production, Studio Jack",Diomedea,7.35,26116,46338,Unknown,"May 20, 2014"
2197,Kiniro no Corda BlueSky,"Harem, Music, School, Shoujo","Soon after transferring to Seisou Gakuin, Kanade finds the orchestra club in the middle of preparing for the National concur. Teaming up with the other members, she will improve her skills, meet new rivals and create memories for what will become an unforgettable summer... 
 
(Source: La Corda D'oro Wikia)",Koei,TYO Animations,6.51,6861,18846,Visual novel,"Apr 6, 2014 to Jun 22, 2014"
2198,Sekai Seifuku Bouryaku no Zvezda,"Action, Comedy, Fantasy","What does it take to conquer the world?! Every leader of the past has thought of it... but all they have done was to merely dream of its greatness. World domination... nobody has been able to achieve it. Until one little girl by the name of Kate Hoshimiya came along. Kate Hoshimiya will shock the world! How was she able to carry out such a magnificent stunt? So frightful! So glorious! Could this be... the Zvezda Plot?! Let the light of our great Zvezda shine upon this land far and wide! 
 
(Source: Aniplex USA)","Aniplex, Dentsu, flying DOG, Notes, Atelier Musa, Ichijinsha",A-1 Pictures,7.15,37345,91587,Original,"Jan 12, 2014 to Mar 30, 2014"
2199,Sekai de Ichiban Tsuyoku Naritai! Specials,"Action, Ecchi, Sports","Short specials included on the BD/DVD volumes of ""Sekai de Ichiban Tsuyoku Naritai!""","Movic, Earth Star Entertainment",Arms,5.81,1976,4750,Unknown,"Dec 12, 2013 to May 12, 2014"
2200,Seikoku no Dragonar,"Comedy, Ecchi, Fantasy, School","Learning to ride and tame dragons comes easy to most students at Ansarivan Dragonar Academy—except for first-year student Ash Blake, who is known by his fellow classmates as the ""number one problem child."" Poor Ash is the laughing stock at school because, despite his unfashionably large star-shaped brand that marks him as a future dragon master, he has nothing to show for it. His dragon has never appeared. 
 
Until now, that is. One fateful day, Ash's dragon awakes in full glory, but appears different than any dragon ever seen before—in the form of a beautiful girl! What's worse, Ash soon discovers that this new dragon has attitude to spare, as she promptly informs him that she is the master, and he, the servant. 
 
Ash's problems with dragon riding have only just begun. 
 
(Source: ANN)","Media Factory, AT-X, Sony Music Communications, Tsukuru no Mori",C-Station,6.71,58392,114955,Light novel,"Apr 5, 2014 to Jun 21, 2014"
2201,Strange,"Slice of Life, Comedy, Josei","Kou comes to a slum neighborhood in search of his elder brother Takumi and finds him to have become the head of a private detective firm. Kou is drafted by Takumi to do errands and chores in the detective firm, and they come to meet various interesting people... 
 
(Source: MAL News)",Dream Creation,Seven,6.06,9920,23994,Manga,"Jan 10, 2014 to Mar 28, 2014"
2202,Hetalia The Beautiful World Extra Disc,"Comedy, Historical, Parody","Unaired episode adapted from the manga chapter ""I Was Overwhelmed by Heroines.""",Frontier Works,Studio Deen,7.58,2551,6364,Web manga,"Feb 26, 2014"
2203,Witch Craft Works,"Action, Fantasy, Magic, Seinen, Supernatural","Honoka Takamiya was perfectly happy with his completely average and normal life. His primary problem in life was the fact that he shared a school with the school's ""Princess,"" Ayaka Kagari. Both girls and boys fawn over her which makes Honoka's life difficult since he rides the same bus as her in the morning and sits next to her in class. What's worse is that if he even idly interacts with her, her fan club takes him out back and beats him up! 
 
One day while taking out the trash he looks up to see a school building falling on top of him! He is saved at the very last moment by the very same beautiful girl, Ayaka, that he's never even had a full conversation with. She finally speaks to him, revealing that she's been protecting him in secret, but now that someone is attacking him directly she no longer needs to do it covertly. 
 
It turns out that Ayaka is a fire witch and there are other witches in the world who want to capture Honoka and use him for the power that he possesses inside of him.  
","Bandai Visual, Lantis, Kodansha, Movic, I Will",J.C.Staff,7.2,72452,144478,Manga,"Jan 5, 2014 to Mar 23, 2014"
2204,Love Stage!!,"Comedy, Romance, Shounen Ai","With an actress mother, producer father, and rockstar brother, anyone would expect Izumi Sena to eventually enter showbiz himself. However, aside from a commercial for a wedding magazine when he was a child, Izumi has never been in the spotlight; instead, he aims to become a manga artist.  
 
But a decade after the shoot, the magazine calls for a 10th anniversary ad, requesting the original child actors for the project. This reunites Izumi with Ryouma Ichijou, now a popular actor who, much to Izumi's shock, has been in love with him ever since their first meeting! However, due to Izumi's feminine appearance and unisex name, Ryouma believed the boy was a girl and continues to do so to this day. Izumi's troubles are just beginning, because even after discovering the truth, Ryouma can't seem to shake off his feelings... 
 
[Written by MAL Rewrite]",Kadokawa Shoten,J.C.Staff,7.62,65810,118604,Manga,"Jul 10, 2014 to Sep 11, 2014"
2205,Escha  Logy no Atelier Tasogare no Sora no Renkinjutsushi,Fantasy,"This world has gone through many Dusks, and is slowly nearing its end. Within this world, in the western reaches of the ""Land of Dusk,"" there was a nation that prospered thanks to its use of alchemy.  
 
There, in order to survive the eventual arrival of the ""Dusk End,"" the people devoted their efforts to rediscover and recreate lost alchemic technologies. Rediscovered technology from the past era was gathered in the alchemy research city known as ""Central,"" where research was conducted on how to halt the advance of the twilight.  
 
One of the heroes is a young man who researched alchemy in Central, the other a girl living in a small town on the frontier. This girl's name is Escha. In the process of using her knowledge of ancient alchemy to help others, she was assigned to the Development Department. The young man's name is Logy. Having learned the newest alchemic techniques in Central, he requested a transfer to this understaffed town to make use of his abilities, and meets Escha when he is assigned to the Development Department as well. The two make a promise to use their alchemy together, and bring success to the Development Department. 
 
(Source: Tecmo Koei Europe)","Sotsu, Pony Canyon",Studio Gokumi,6.5,16843,45607,Game,"Apr 10, 2014 to Jun 26, 2014"
2206,Baby Steps,"Romance, School, Shounen, Sports","Diligent and methodical honor student Eiichirou Maruo decides to exercise more during the little free time he has available because he is worried about his health. For this reason, after seeing a flyer, he joins the Southern Tennis Club at the beginning of his freshman year. 
 
During his free trial at the club, he meets Natsu Takasaki, another first year student, who is determined on becoming a professional tennis player due to her love for the sport. In contrast, Eiichirou's study-oriented life exists because he believes that it is what he has to do, not because he enjoys it. However, his monotonous days come to an end as the more he plays tennis, the more he becomes fascinated by it. 
 
 Baby Steps  is the story of a boy who makes the most of his hard-working and perfectionist nature to develop his own unique playing style. Little by little, Eiichirou's skills begin to improve, and he hopes to stand on equal footing with tennis' best players. 
 
[Written by MAL Rewrite]",NHK,Studio Pierrot,7.94,43190,83574,Manga,"Apr 6, 2014 to Sep 21, 2014"
2207,"Wake Up, Girls! Shichinin no Idol","Drama, Music","In Wake Up, Girls! Green Leaves Entertainment is in the worst situation any Talent Management Agency can be in... they have NO talent! Desperate for an act, President Junko Tange targets the idol singer market and gives her flunky Matsuda his marching orders: get a girl group to manage, even if it means building one from scratch! 
 
Since complete singing groups rarely appear out of thin air, Matsuda's now in the difficult position of having to find girls with the right skills who don't already have contracts with Japan's music industry. That girl at the Maid Café? Good enough! A lead singer who's been fired from another group? Sure, why not? How about one who's only 13 years old? What could possibly go wrong there? 
 
They may not be on the A-list, the B-List, or even the C-list to start, but with a little love and a whole lot of hard work, it's possible that all Japan may someday wake up to the music of WAKE UP, GIRLS! 
 
(Source: Sentai Filmworks)","TV Tokyo, Avex Entertainment, Sotsu, Sega, Gakken, Rakuonsha, AT-X, Toho, DIVE II Entertainment, Good Smile Company","Tatsunoko Production, Ordet",7.22,9864,17507,Original,"Jan 10, 2014"
2208,Soul Eater Late Night Show,"Action, Fantasy, Comedy","Additional specials included in two Blu-ray Box volumes of Soul Eater.  
 
Originally they were a part of late-night version of dual broadcast of Soul Eater; the regular Monday 6:00 p.m. version and a late-night ""Soul Eater Late Show"" version. 
 
Special footage was added at the start and end of the commercial break; the next episode preview was also different from the regular version. 
 
(Source: Wikipedia)","TV Tokyo, Aniplex, Dentsu, Media Factory",Bones,6.91,4164,14343,Manga,"Apr, 2008 to Mar, 2009"
2209,Go! Go! 575,Slice of Life,"Go! Go! 575 adapts the Project 575 games for PlayStation Vita and iOS, which allow anyone to create songs using the traditional Japanese 5-7-5-syllable meter found in haiku and tanka poems. 
 
(Source: ANN)","Sega, Half H.P Studio","C2C, Lay-duce",5.72,4791,8789,Game,"Jan 10, 2014 to Jan 31, 2014"
2210,Gochuumon wa Usagi Desu ka,"Slice of Life, Comedy","Kokoa Hoto is a positive and energetic girl who becomes friends with anyone in just three seconds. After moving in with the Kafuu family in order to attend high school away from home, she immediately befriends the shy and precocious granddaughter of Rabbit House cafe's founder, Chino Kafuu, who is often seen with the talking rabbit, Tippy, on her head. 
 
After beginning to work as a waitress in return for room and board, Kokoa also befriends another part-timer, Rize Tedeza, who has unusual behavior and significant physical capabilities due to her military upbringing; Chiya Ujimatsu, a waitress from a rival cafe who does everything at her own pace; and Sharo Kirima, another waitress at a different cafe who has the air of a noblewoman despite being impoverished. 
 
With fluffy silliness and caffeinated fun,  Gochuumon wa Usagi Desu ka?  is a heartwarming comedy about five young waitresses and their amusing adventures in the town they call home. 
 
[Written by MAL Rewrite]","Frontier Works, Sotsu, Magic Capsule, Showgate, Houbunsha, NBCUniversal Entertainment Japan, RAY",White Fox,7.59,47166,122204,4-koma manga,"Apr 10, 2014 to Jun 26, 2014"
2211,Pupipo!,"Slice of Life, Comedy, Supernatural, School","Himeji Wakaba is a 5th year elementary school student, and she has the ability to see things that others can't. They are mostly frightening evil spirits, and they tend to do bad things to people who are close to her. As a result, Wakaba has no friends and rarely smiles. On a couple of occasions, she brings home stray animals, but her parents won't let her keep them. However, they're worried about their sad, creepy daughter, so one day they decide that whatever Wakaba brings home next, they'll let her keep. 
 
The next thing she brings home is a pink monster called ""Pupipo"", but her parents stand by their decision and let her keep it. No one is quite sure what Pupipo is, but it protects Wakaba from the other things she sees. Pupipo also helps Wakaba make friends with an occult-obsessed transfer student and solve problems with bullying. Wakaba's life is a much better place with her pet pink monster! 
 
(Source: MangaHelpers)",TV Tokyo,AIC Plus,6.87,7505,14911,Manga,"Dec 21, 2013 to Mar 29, 2014"
2212,Isshuukan Friends.,"Slice of Life, Comedy, School, Shounen","Sixteen-year-old Yuuki Hase finally finds the courage to speak to his crush and ask her if she wants to become friends. The object of his affection, Kaori Fujimiya, is a quiet and reserved girl who cuts herself off from everyone and does not spare him the same blunt rejection she gives everybody else. 
 
Some time after, Yuuki finds her eating lunch on the roof where she secludes herself during break. He decides to start meeting with Kaori every day in the hopes of beginning to understand her better. The more time they spend together, the more she begins to open up to him. However, nearing the end of the week, she starts to push him away once more. It is then revealed to him the reason for Kaori's cold front: at the end of the week, her memories of those close to her, excluding her family, are forgotten, as they are reset every Monday. The result of an accident in middle school, the once popular and kind Kaori is now unable to make friends in fear of hurting the people dear to her. 
 
Determined to become more than just one week friends, Yuuki asks her the exact same question each Monday: ""Would you like to be friends?"" Because he knows that deep down, Kaori wishes for that more than anything. 
 
[Written by MAL Rewrite]","Nihon Ad Systems, Pony Canyon, DAX Production, TOHO animation",Brain039;s Base,7.66,91034,185198,4-koma manga,"Apr 7, 2014 to Jun 23, 2014"
2213,Mushishi Hihamukage,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","The entire countryside comes to a halt midday to witness a rare solar eclipse that is rumored to allow the average person to see Mushi. Unable to avert their gaze, the air is full of awe and wonder—but those who know the Mushi are preparing for the eclipse's aftermath. 
 
Based on a prediction from Tanyuu Karibusa, the cursed recorder, Mushishi Ginko finds himself in a very unlucky farming village. Immediately following the solar eclipse, a strange black cloud begins to gather in the sky and blocks the sun once more. Suspecting it to be the work of a Mushi known as Hihami, Ginko seeks to liberate the village from perpetual darkness. However, it seems that not all of the villagers are eager to return to the light. 
 
[Written by MAL Rewrite]","Aniplex, Kodansha, Delfi Sound",Artland,8.64,35950,67573,Manga,"Jan 4, 2014"
